ROWNUM;STATION;X;Y;LINE;STATUS;VESTIBULE;MODE_EVEN;MODE_ODD;BPA_NUM;ESC_DATE_CHANGE;ESC_TYPE;ESC_HEIGHT;ESC_NUM;BPA_TYPE;GLOBALID;
1;"Первомайская";"37,79892774";"55,79566675";"Арбатско-Покровская";"Действующая";"Первомайская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05; 1й поезд по 1му пути: 5-42-00. по второму пути: 6-00-00; последний поезд по первому пути: 1-05-00. по второму пути: 2-01-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05; 1й поезд по 1му пути: 5-58-00. по второму пути: 6-05-00; последний поезд по первому пути: 1-05-00. по второму пути: 2-01-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312138";
2;"Первомайская";"37,79905142";"55,79368192";"Арбатско-Покровская";"Действующая";"Первомайская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05; 1й поезд по 1му пути: 5-42-00. по второму пути: 6-00-00; последний поезд по первому пути: 1-05-00. по второму пути: 2-01-00";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05; 1й поезд по 1му пути: 5-58-00. по второму пути: 6-05-00; последний поезд по первому пути: 1-05-00. по второму пути: 2-01-00";"3";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 3 малофункциональные (билеты на 1 и 2 поездки)";"85312139";
3;"Первомайская";"37,79972847";"55,79567905";"Арбатско-Покровская";"Действующая";"Первомайская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312140";
4;"Первомайская";"37,79978072";"55,79370434";"Арбатско-Покровская";"Действующая";"Первомайская";"в четные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05";"в нечетные дни открытие: 5-35. закрытие на вход: 1-00. закрытие на выход: 2-05";"4";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 4 малофункциональные (билеты на 1 и 2 поездки)";"85312141";
5;"Перово";"37,78429764";"55,75112912";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312142";
6;"Перово";"37,78457602";"55,75068504";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312143";
7;"Перово";"37,7848856";"55,75121471";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312144";
8;"Перово";"37,78814138";"55,75181641";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30; 1й поезд по 1му пути: 5-34-00. по второму пути: 5-57-00; последний поезд по первому пути: 1-09-30. по второму пути: 1-18-00";"6";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 6 малофункциональные (билеты на 1 и 2 поездки)";"85312145";
9;"Перово";"37,78838473";"55,75130132";"Калининская";"Действующая";"Перово";"в четные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30";"в нечетные дни открытие: 5-25. закрытие на вход: 1-00. закрытие на выход: 1-30";"5";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 5 малофункциональные (билеты на 1 и 2 поездки)";"85312146";
10;"Петровско-Разумовская";"37,57551062";"55,83662354";"Серпуховско-Тимирязевская";"Действующая";"Петровско-Разумовская";"в четные дни открытие: 5-20. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 6-07-00. по второму пути: 5-32-00; последний поезд по первому пути: 1-49-30. по второму пути: 1-14-00";"в нечетные дни открытие: 5-30. закрытие на вход: 1-00. закрытие на выход: 2-00; 1й поезд по 1му пути: 6-07-00. по второму пути: 5-31-00; последний поезд по первому пути: 1-49-30. по второму пути: 1-14-00";"9";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"Замена или длительный ремонт не запланированы";"0 полнофункциональные (все типы билетов); 9 малофункциональные (билеты на 1 и 2 поездки)";"85312147";
